precision,recall,f1,category,label_type
0.6759776536312849,0.3980263157894737,0.5010351966873706,BEHÖRDE,InDomain
0.6666666666666666,0.13664596273291926,0.2268041237113402,JOURNALIST,InDomain
0.8076923076923077,0.1547911547911548,0.25979381443298966,MEDIEN,InDomain
0.823170731707317,0.5878084179970973,0.6858594411515664,PARTEI,InDomain
0.6762075134168157,0.3776223776223776,0.4846153846153845,POLITIKER,InDomain
0.7341862117981521,0.35818307905686547,0.4814728501514799,OVERALL,InDomain
0.0,0.0,0.0,BEHÖRDE,Spanish
0.0,0.0,0.0,JOURNALIST,Spanish
0.0,0.0,0.0,MEDIEN,Spanish
0.0,0.0,0.0,PARTEI,Spanish
0.0,0.0,0.0,POLITIKER,Spanish
0.0,0.0,0.0,OVERALL,Spanish
0.5,0.14285714285714285,0.22222222222222224,BEHÖRDE,Twitter
0.0,0.0,0.0,JOURNALIST,Twitter
1.0,0.2222222222222222,0.3636363636363636,MEDIEN,Twitter
0.8947368421052632,0.7212121212121212,0.7986577181208053,PARTEI,Twitter
0.7619047619047619,0.16161616161616163,0.26666666666666666,POLITIKER,Twitter
0.875,0.46511627906976744,0.6073752711496746,OVERALL,Twitter
0.0,0.0,0.0,BEHÖRDE,OutLang
0.0,0.0,0.0,MEDIEN,OutLang
0.0,0.0,0.0,PARTEI,OutLang
0.0,0.0,0.0,POLITIKER,OutLang
0.0,0.0,0.0,OVERALL,OutLang
0.0,0.0,0.0,BEHÖRDE,English
0.0,0.0,0.0,JOURNALIST,English
0.0,0.0,0.0,MEDIEN,English
0.0,0.0,0.0,PARTEI,English
0.0,0.0,0.0,POLITIKER,English
0.0,0.0,0.0,OVERALL,English
0.7391304347826086,0.2463768115942029,0.3695652173913044,BEHÖRDE,OutDomain
0.0,0.0,0.0,JOURNALIST,OutDomain
0.5,0.09090909090909091,0.15384615384615385,MEDIEN,OutDomain
0.8243243243243243,0.580952380952381,0.6815642458100559,PARTEI,OutDomain
0.8080808080808081,0.19230769230769232,0.3106796116504854,POLITIKER,OutDomain
0.7902439024390244,0.24397590361445784,0.3728423475258919,OVERALL,OutDomain
